lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4
bar	fic_1820_7562.txt-1590-3	mag_2005_396762.txt-36-69	1.0	mag_1821_553342.txt-352-17	3.0	mag_1821_553342.txt-352-17	2.0		
bar	mag_1827_553787.txt-80-1	fic_2000_13995.txt-480-6	2.0	fic_2000_52518.txt-317-5	1.0	mag_1821_553342.txt-352-17	4.0		
bar	fic_1833_7058.txt-473-28	nf_1969_774314.txt-1305-14	1.0	nf_1969_774314.txt-1305-14	3.0	fic_1993_25016.txt-1330-5	2.0		
bar	nf_1844_747607.txt-3721-35	mag_1854_555974.txt-331-28	4.0	nf_1857_753133.txt-433-14	1.0	mag_1854_555974.txt-331-28	3.0	fic_1847_8919.txt-1065-12	2.0
bar	fic_1860_7915.txt-320-87	mag_1821_553342.txt-352-17	1.0	mag_1854_555974.txt-331-28	3.0	fic_1847_8919.txt-1065-12	2.0		
bar	fic_1836_7330.txt-1145-5	mag_2007_390968.txt-43-4	3.0	fic_1987_780057.txt-1105-25	2.0	mag_1854_555974.txt-331-28	1.0	fic_2005_32805.txt-98-8	4.0
bar	nf_1827_748059.txt-780-6	mag_1821_553342.txt-352-17	1.0	fic_2000_52518.txt-317-5	2.0	fic_1993_25016.txt-1330-5	3.0		
bar	mag_1833_564484.txt-71-112	fic_1993_25016.txt-1330-5	1.0	nf_1846_748061.txt-1284-3	4.0	fic_1993_25016.txt-1330-5	2.0	fic_1993_25016.txt-1330-5	3.0
bar	mag_1843_555150.txt-426-40	nf_1857_753133.txt-433-14	3.0	mag_1854_555974.txt-331-28	1.0	nf_1857_753133.txt-433-14	4.0	fic_1993_25016.txt-1330-5	2.0
bar	mag_1828_553927.txt-412-12	fic_2000_13995.txt-480-6	1.0	fic_1824_7022.txt-122-23	4.0	fic_1847_8919.txt-1065-12	2.0		
bar	fic_1837_8325.txt-663-43	mag_1999_408585.txt-67-25	1.0	nf_1857_753133.txt-433-14	3.0	mag_2007_390968.txt-43-4	2.0		
bar	fic_1853_9158.txt-3216-38	fic_1987_780057.txt-1105-25	2.0	fic_1987_780057.txt-1105-25	3.0	fic_1824_7022.txt-122-23	1.0		
bar	nf_1832_758144.txt-1047-14	fic_1824_7022.txt-122-23	4.0	mag_2007_390968.txt-43-4	2.0	nf_1969_774314.txt-1305-14	1.0		
bar	nf_1833_747463.txt-185-12	mag_1825_553676.txt-2-14	4.0	news_1982_668343.txt-120-14	1.0	fic_2000_52518.txt-317-5	2.0		
bar	nf_1833_747716.txt-865-13	fic_1824_7022.txt-122-23	3.0	mag_2007_390968.txt-43-4	1.0	fic_2002_47139.txt-175-11	2.0		
bar	nf_1834_747938.txt-891-26	nf_1857_753133.txt-433-14	1.0	mag_1977_490789.txt-112-14	4.0	fic_2000_52518.txt-317-5	2.0		
bar	fic_1831_7002.txt-2243-7	nf_1857_753133.txt-433-14	1.0	mag_1977_490789.txt-112-14	4.0	fic_2002_47139.txt-175-11	2.0	mag_1854_555974.txt-331-28	3.0
bar	nf_1844_747607.txt-6839-38	fic_2000_13995.txt-480-6	4.0	fic_2000_52518.txt-317-5	1.0	mag_1854_555974.txt-331-28	2.0	fic_2000_52518.txt-317-5	3.0
bar	fic_1845_7170.txt-5850-9	mag_1854_555974.txt-331-28	1.0	mag_1999_408585.txt-67-25	2.0	mag_1854_555974.txt-331-28	3.0		
bar	nf_1856_755595.txt-1034-8	fic_1824_7022.txt-122-23	1.0	fic_1999_45403.txt-19-31	4.0	fic_1999_45403.txt-19-31	2.0		
bar	fic_1847_7094.txt-3878-12	fic_1824_7022.txt-122-23	4.0	fic_1993_25016.txt-1330-5	1.0	mag_2007_390968.txt-43-4	2.0		
bar	fic_1840_8565.txt-260-13	mag_1854_555965.txt-99-21	1.0	nf_1969_774314.txt-1305-14	4.0	fic_1993_25016.txt-1330-5	3.0		
bar	fic_1839_7068.txt-800-5	mag_2005_396762.txt-36-69	1.0	mag_2005_396762.txt-36-69	2.0	mag_1854_555974.txt-331-28	3.0		
bar	nf_1859_747504.txt-1852-7	fic_1824_7022.txt-122-23	4.0	fic_2005_32805.txt-98-8	2.0	mag_1999_408585.txt-67-25	1.0		
bar	fic_1849_9494.txt-213-14	fic_2000_13995.txt-480-6	1.0	nf_1969_774314.txt-1846-17	3.0	nf_1969_774314.txt-1846-17	4.0	mag_1854_555974.txt-331-28	2.0
bar	mag_1854_555974.txt-331-28	fic_1831_7002.txt-2243-7	1.0	nf_1850_748019.txt-94-1	4.0	fic_1860_7915.txt-320-87	2.0	fic_1993_25016.txt-1330-5	3.0
bar	fic_1843_7074.txt-2687-54	mag_1854_555965.txt-99-21	1.0	mag_2007_390968.txt-43-4	2.0	nf_1969_774314.txt-1305-14	4.0		
bar	nf_1836_749613.txt-826-35	nf_1846_748061.txt-1284-3	1.0	fic_2000_52518.txt-317-5	2.0	fic_2000_52518.txt-317-5	3.0		
bar	fic_1856_2470.txt-4333-27	mag_1854_555965.txt-99-21	3.0	news_1982_668343.txt-120-14	1.0	mag_1854_555965.txt-99-21	4.0	fic_1999_45403.txt-19-31	2.0
bar	mag_1846_524077.txt-140-15	mag_2007_390968.txt-43-4	1.0	mag_1825_553676.txt-2-14	4.0	fic_2000_52518.txt-317-5	3.0		
bar	mag_1853_590222.txt-112-20	fic_1836_7330.txt-1145-5	1.0	mag_1821_553342.txt-352-17	3.0	mag_1821_553342.txt-352-17	4.0		
bar	fic_1853_9069.txt-3-11	nf_1846_748061.txt-1284-3	3.0	fic_1847_8919.txt-1065-12	1.0	fic_1847_8919.txt-1065-12	2.0		
bar	mag_1827_553785.txt-135-6	nf_1969_774314.txt-1846-17	1.0	mag_1821_553342.txt-352-17	4.0	fic_2000_52518.txt-317-5	2.0		
bar	fic_1847_8919.txt-1065-12	fic_2007_34119.txt-128-14	1.0	fic_2000_38436.txt-821-29	2.0	fic_1964_16147.txt-1777-7	3.0	fic_1999_45403.txt-19-31	4.0
bar	fic_1843_7208.txt-479-12	news_2006_629441.txt-53-23	1.0	nf_1969_774314.txt-1305-14	4.0	fic_2002_47139.txt-175-11	2.0		
bar	mag_1819_553205.txt-172-13	mag_2007_390968.txt-43-4	3.0	nf_1846_748061.txt-1284-3	1.0	mag_1825_553676.txt-2-14	4.0		
bar	fic_1856_1562.txt-456-6	nf_1827_748059.txt-780-6	1.0	mag_1854_555965.txt-99-21	4.0	fic_2005_32805.txt-98-8	2.0		
bar	mag_1821_553342.txt-352-17	mag_1825_553676.txt-2-14	4.0	fic_2000_30931.txt-158-27	1.0	fic_1820_7562.txt-1590-3	3.0	mag_1854_555974.txt-331-28	2.0
bar	nf_1846_748061.txt-1284-3	news_1982_668343.txt-120-14	4.0	fic_2000_52518.txt-317-5	1.0	mag_1854_555974.txt-331-28	3.0		
bar	nf_1850_748019.txt-94-1	mag_2007_390968.txt-43-4	1.0	fic_1987_780057.txt-1105-25	2.0	mag_1854_555974.txt-331-28	4.0	mag_1854_555974.txt-331-28	3.0
bar	fic_1850_7171.txt-3724-16	news_2000_633241.txt-70-5	4.0	mag_1854_555974.txt-331-28	1.0	mag_2007_390968.txt-43-4	3.0		
bar	fic_1845_7342.txt-259-40	mag_1821_553342.txt-352-17	1.0	news_2006_629441.txt-53-23	4.0	fic_1847_8919.txt-1065-12	2.0		
bar	nf_1857_753133.txt-433-14	fic_2000_13995.txt-480-6	1.0	mag_1854_555965.txt-99-21	3.0	mag_1821_553342.txt-352-17	4.0		
bar	fic_1859_9192.txt-7101-1	mag_1854_555974.txt-331-28	1.0	nf_1969_774314.txt-1846-17	4.0	mag_1854_555974.txt-331-28	3.0		
bar	fic_1978_10636.txt-842-8	news_2006_629441.txt-53-23	4.0	fic_2005_32805.txt-98-8	1.0	fic_2005_32805.txt-98-8	3.0		
bar	fic_1966_10473.txt-3245-16	mag_1854_555965.txt-99-21	1.0	fic_2000_13995.txt-480-6	2.0	fic_1993_25016.txt-1330-5	4.0	fic_2005_32805.txt-98-8	3.0
bar	mag_1989_492439.txt-6-25	fic_2000_13995.txt-480-6	1.0	fic_1844_7081.txt-1707-4	3.0	nf_1827_748059.txt-780-6	2.0		
bar	fic_1989_10790.txt-3942-6	nf_1969_774314.txt-1846-17	3.0	nf_1969_774314.txt-1846-17	4.0	mag_1825_553676.txt-2-14	1.0	fic_2005_32805.txt-98-8	2.0
bar	fic_1981_780049.txt-3544-12	fic_2002_47139.txt-175-11	3.0	fic_2002_47139.txt-175-11	4.0	fic_1993_25016.txt-1330-5	1.0	fic_2002_47139.txt-175-11	2.0
bar	mag_1977_490797.txt-632-9	fic_1963_10441.txt-521-7	2.0	fic_1963_10441.txt-521-7	4.0	mag_1821_553342.txt-352-17	1.0		
bar	fic_2000_52518.txt-317-5	fic_2009_36731.txt-175-10	4.0	mag_2007_390968.txt-43-4	3.0	mag_1821_553342.txt-352-17	1.0		
bar	fic_1977_780095.txt-189-7	fic_2002_47139.txt-175-11	3.0	nf_1969_774314.txt-1305-14	1.0	mag_1821_553342.txt-352-17	2.0	fic_2002_47139.txt-175-11	4.0
bar	news_2003_603945.txt-25-2	fic_2000_13995.txt-480-6	1.0	mag_1854_555974.txt-331-28	2.0	fic_2002_47139.txt-175-11	3.0		
bar	fic_1976_780158.txt-4351-7	mag_2007_390968.txt-43-4	3.0	fic_2005_32805.txt-98-8	4.0	mag_1854_555974.txt-331-28	1.0	mag_1854_555974.txt-331-28	2.0
bar	mag_1999_408585.txt-67-25	fic_2000_13995.txt-480-6	1.0	mag_1854_555974.txt-331-28	3.0	fic_2000_52518.txt-317-5	2.0		
bar	fic_1970_782002.txt-1125-14	nf_1827_748059.txt-780-6	1.0	fic_2002_47139.txt-175-11	4.0	fic_2002_47139.txt-175-11	3.0		
bar	mag_1977_490789.txt-112-14	fic_1993_25016.txt-1330-5	2.0	fic_1840_7256.txt-3046-1	4.0	fic_2005_32805.txt-98-8	1.0		
bar	fic_2000_13985.txt-1385-16	fic_1999_45403.txt-19-31	4.0	mag_1854_555974.txt-331-28	1.0	fic_2002_47139.txt-175-11	3.0		
bar	mag_2005_396762.txt-36-69	fic_2000_13995.txt-480-6	1.0	fic_1993_25016.txt-1330-5	4.0	mag_2007_390968.txt-43-4	2.0		
bar	mag_1983_432145.txt-116-0	fic_1993_25016.txt-1330-5	1.0	fic_2000_52518.txt-317-5	4.0	fic_2000_52518.txt-317-5	2.0		
bar	mag_2009_406395.txt-29-42	fic_1993_25016.txt-1330-5	4.0	nf_1857_753133.txt-433-14	1.0	mag_1854_555974.txt-331-28	3.0		
bar	mag_2007_391441.txt-3-8	mag_2007_390968.txt-43-4	2.0	fic_2000_52518.txt-317-5	4.0	nf_1969_774314.txt-1846-17	1.0	fic_2000_52518.txt-317-5	3.0
bar	nf_1969_774314.txt-1242-6	mag_1854_555965.txt-99-21	1.0	mag_1854_555974.txt-331-28	3.0	fic_2005_32805.txt-98-8	2.0		
bar	fic_2000_13995.txt-480-6	news_2006_629441.txt-53-23	2.0	mag_1854_555974.txt-331-28	1.0	news_2006_629441.txt-53-23	4.0	mag_2007_390968.txt-43-4	3.0
bar	fic_1966_10469.txt-1265-9	fic_2005_32805.txt-98-8	3.0	fic_1987_780057.txt-1105-25	1.0	fic_2005_32805.txt-98-8	4.0	fic_2005_32805.txt-98-8	2.0
bar	mag_2001_410379.txt-52-6	fic_1993_25016.txt-1330-5	1.0	fic_2005_32805.txt-98-8	3.0	fic_2005_32805.txt-98-8	4.0		
bar	mag_1978_490798.txt-68-16	fic_2000_13995.txt-480-6	3.0	mag_1854_555965.txt-99-21	1.0	fic_2000_13995.txt-480-6	4.0		
bar	fic_1961_10413.txt-1517-3	fic_1985_10734.txt-12072-29	2.0	fic_1999_45403.txt-19-31	4.0	mag_1854_555974.txt-331-28	1.0	fic_1999_45403.txt-19-31	3.0
bar	fic_1993_1040083.txt-3160-7	fic_2005_32805.txt-98-8	4.0	fic_2005_32805.txt-98-8	3.0	fic_1993_25016.txt-1330-5	1.0		
bar	fic_1992_16695.txt-3294-6	fic_2000_52518.txt-317-5	3.0	fic_1993_25016.txt-1330-5	1.0	fic_1999_45403.txt-19-31	4.0		
bar	news_1997_632266.txt-80-10	mag_1977_490789.txt-112-14	1.0	fic_2000_52518.txt-317-5	4.0	news_2006_629441.txt-53-23	2.0		
