challenge_name	threshold	mean_success_rate	median_success_rate	std_success_rate
4.0-4.0-4.0-3.0-1.0-1.0	0.5	0.0999	0.0	0.2999
4.0-4.0-4.0-3.0-1.0-1.0	0.55	0.0999	0.0	0.2999
4.0-4.0-4.0-3.0-1.0-1.0	0.6	0.0999	0.0	0.2999
4.0-4.0-4.0-3.0-1.0-1.0	0.65	0.0999	0.0	0.2999
4.0-4.0-4.0-3.0-1.0-1.0	0.7	0.0999	0.0	0.2999
4.0-4.0-4.0-3.0-1.0-1.0	0.75	0.0499	0.0	0.2178
4.0-4.0-4.0-3.0-1.0-1.0	0.8	0.0499	0.0	0.2178
4.0-4.0-4.0-3.0-1.0-1.0	0.85	0.0499	0.0	0.2178
4.0-4.0-4.0-3.0-1.0-1.0	0.9	0.0168	0.0	0.1284
4.0-4.0-4.0-3.0-1.0-1.0	0.95	0.0168	0.0	0.1284
4.0-4.0-4.0-3.0-1.0-1.0	1.0	0.0168	0.0	0.1284
