study_id	time_to_complete	p_c_results_id	l_c_results_id	feedback_id
1	104194	269|1		269
1	89076		418|1	418
1	46266		301|1	301
1	58639		392|1	392
1	65956	166|1		166
1	104537	249|1		249
1	77487	221|1		221
1	77638	384|1		384
1	87864		391|1	391
1	104329	309|1		309
1	1325		111|1	111
1	189527	283|1		283
1	52379		73|1	73
1	36541	89|1		89
1	72341		11|1	11
1	88070		193|1	193
1	153489	225|1		225
1	94655	61|1		61
1	214549	286|1		286
1	66740		58|1	58
1	122979		211|1	211
1	64489	9|1		9
1	68684	175|1		175
1	115548	155|1		155
1	46861		353|1	353
1	93274		237|1	237
1	68342		363|1	363
1	43429	207|1		207
1	399750	245|1		245
1	388366		364|1	364
1	42697		377|1	377
1	75679	408|1		408
1	54491	90|1		90
1	86443		192|1	192
1	48826		422|1	422
1	94972		60|1	60
1	68684	174|1		174
1	76410		250|1	250
2	137469	182|2		182
2	180941	305|2		305
2	45139		72|2	72
2	294739		197|2	197
2	205124		106|2	106
2	54693		264|2	264
2	123460		304|2	304
2	70436		235|2	235
2	351190	158|2		158
2	106940	14|2		14
2	105606		420|2	420
2	69182	227|2		227
2	120183		219|2	219
2	599890	267|2		267
2	92778	206|2		206
2	150848		306|2	306
2	233781	380|2		380
2	247970	80|2		80
2	233781	379|2		379
2	110566	255|2		255
2	112163	288|2		288
2	62127	162|2		162
2	212316	246|2		246
2	128397		413|2	413
2	114003	79|2		79
2	290163		12|2	12
2	88590	406|2		406
2	73272		13|2	13
2	136043	107|2		107
2	70790	173|2		173
2	74404	297|2		297
2	150848		370|2	370
2	122306		372|2	372
2	204537		213|2	213
2	61229		401|2	401
2	316549		281|2	281
2	119232	16|2		16
2	85921	189|2		189
3	174586	452|3		452
3	75112	200|3		200
3	428058	244|3		244
3	74559		275|3	275
3	53730	361|3		361
3	82101		18|3	18
3	73394	81|3		81
3	55989		176|3	176
3	1787		239|3	239
3	2953365	287|3		287
3	147072	394|3		394
3	422236	187|3		187
3	923115		85|3	85
3	118682		224|3	224
3	73249	404|3		404
3	333855	253|3		253
3	157212	185|3		185
3	110579	273|3		273
3	165780	262|3		262
3	76651	272|3		272
3	341699		167|3	167
3	72539		84|3	84
3	183849	201|3		201
3	116167	403|3		403
3	52463	4|3		4
3	92938	70|3		70
3	10909583	104|3		104
3	74200	228|3		228
3	70829	63|3		63
3	81220	17|3		17
3	97994		414|3	414
3	101047		362|3	362
3	98548		279|3	279
3	225800	383|3		383
3	312948		153|3	153
3	109621	376|3		376
3	104772	215|3		215
3	168912		274|3	274
4	90349		390|4	390
4	122694		400|4	400
4	76426		308|4	308
4	104950		218|4	218
4	71057		87|4	87
4	67679		291|4	291
4	136538		210|4	210
4	69992	169|4		169
4	84700	268|4		268
4	183221		195|4	195
4	96192		202|4	202
4	91340		57|4	57
4	70339		258|4	258
4	175955	358|4		358
4	157840		387|4	387
4	67904		356|4	356
4	137388		55|4	55
4	108811	412|4		412
4	103266	375|4		375
4	299786	6|4		6
4	195792		163|4	163
4	503033		234|4	234
4	310829		180|4	180
4	138817		421|4	421
