current_mapping	objective_function_value
[0.10500000000000004, 0.31500000000000006, 0.7349999999999999]	0.5780457391709493
[0.09500000000000003, 0.3300000000000002, 0.77]	0.5832427348600978
[0.10000000000000003, 0.3600000000000002, 0.7350000000000001]	0.6005507596659334
[0.10000000000000003, 0.3600000000000002, 0.7350000000000001]	0.6005507596659334
[0.10000000000000003, 0.3600000000000002, 0.7350000000000001]	0.6005507596659334
[0.1016666666666668, 0.4366666666666672, 0.7855555555555562]	0.6255370855522695
[0.09333333333333343, 0.46833333333333405, 0.7311111111111122]	0.6437823605192907
[0.09333333333333343, 0.46833333333333405, 0.7311111111111122]	0.6437823605192907
[0.10000000000000023, 0.5511111111111121, 0.745370370370372]	0.663064704311281
[0.10000000000000023, 0.5511111111111121, 0.745370370370372]	0.663064704311281
[0.08870370370370392, 0.5851234567901247, 0.7257818930041173]	0.663117443288598
[0.08870370370370392, 0.5851234567901247, 0.7257818930041173]	0.663117443288598
[0.08870370370370392, 0.5851234567901247, 0.7257818930041173]	0.663117443288598
[0.08870370370370392, 0.5851234567901247, 0.7257818930041173]	0.663117443288598
[0.08870370370370392, 0.5851234567901247, 0.7257818930041173]	0.663117443288598
[0.09484796524920008, 0.5904568663313531, 0.7307021287405394]	0.6640805795700597
[0.09393099375095285, 0.5874785982827833, 0.7499930566140005]	0.6660590373990196
[0.09624711045064292, 0.5693987091229329, 0.740431364911629]	0.6671847579175043
[0.09624711045064292, 0.5693987091229329, 0.740431364911629]	0.6671847579175043
[0.09624711045064292, 0.5693987091229329, 0.740431364911629]	0.6671847579175043
[0.09624711045064292, 0.5693987091229329, 0.740431364911629]	0.6671847579175043
[0.10332413546376759, 0.5606933471918811, 0.7518377580954443]	0.667651627991914
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09930844069473399, 0.5715229498076937, 0.7532125689085607]	0.6682779110318904
[0.09917165922874388, 0.5715663278091307, 0.7533998789866984]	0.6684275419418877
[0.09917165922874388, 0.5715663278091307, 0.7533998789866984]	0.6684275419418877
[0.09917165922874388, 0.5715663278091307, 0.7533998789866984]	0.6684275419418877
[0.09917165922874388, 0.5715663278091307, 0.7533998789866984]	0.6684275419418877
[0.09917165922874388, 0.5715663278091307, 0.7533998789866984]	0.6684275419418877
