current_mapping	objective_function_value
[0.25, 0.525, 0.75]	0.6623561036323521
[0.25, 0.525, 0.75]	0.6623561036323521
[0.25, 0.525, 0.75]	0.6623561036323521
[0.24791666666666656, 0.5708333333333333, 0.7312499999999997]	0.6673898163756882
[0.24791666666666656, 0.5708333333333333, 0.7312499999999997]	0.6673898163756882
[0.23341049382716045, 0.5779320987654322, 0.742361111111111]	0.6686556838236883
[0.23341049382716045, 0.5779320987654322, 0.742361111111111]	0.6686556838236883
[0.23915466392318235, 0.5665809327846365, 0.7528549382716048]	0.6690857371927361
[0.23915466392318235, 0.5665809327846365, 0.7528549382716048]	0.6690857371927361
[0.23915466392318235, 0.5665809327846365, 0.7528549382716048]	0.6690857371927361
[0.2362825788751714, 0.5722565157750343, 0.7476080246913579]	0.669654330338219
[0.2346818558527663, 0.5739676211705532, 0.7531282150205757]	0.6699256921238949
[0.2346818558527663, 0.5739676211705532, 0.7531282150205757]	0.6699256921238949
[0.2321220247167607, 0.5736119049433519, 0.750668009830818]	0.6699943884970022
[0.23420230179596604, 0.5729342103591931, 0.749138017261088]	0.6703186172121154
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.2328449776615607, 0.5757486830323121, 0.7495480216906718]	0.6704545586172461
[0.23297039102764927, 0.5764985920944186, 0.7492596918978305]	0.6706257678412658
[0.23297039102764927, 0.5764985920944186, 0.7492596918978305]	0.6706257678412658
[0.23297039102764927, 0.5764985920944186, 0.7492596918978305]	0.6706257678412658
[0.2328745545979925, 0.5759418582977491, 0.7492854144168319]	0.670656174735661
[0.2328745545979925, 0.5759418582977491, 0.7492854144168319]	0.670656174735661
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
[0.23276404129619732, 0.5763156611412373, 0.749336159566683]	0.6707583455672196
