row_type	challenge_type	time_to_complete	spearman_correlation	krippendorff_coefficient	academic_degree	english_mother_tongue	language_skill	sentence_difficulty	similarity_difficulty	challenge_rating	challenge_count	challenge_feedback	general_feedback	challenge_solved	lemma	count_all	count_solved	challenge_success_probability
	list_challenge	53.12	1.0		yes	no	1.0	10.0	8.0	5.0	3.0	Yes - it was more fun! But, then, I am a linguist.		True	bar			
	list_challenge	169.3	1.0		yes	no	1.0	10.0	6.0	2.0	0.0	no		True	order			
	list_challenge	89.08	0.89		yes	no	1.0	9.0	8.0	5.0	1.0	No	Nice sentences:)	True	arm			
	list_challenge	105.61	0.74		yes	no	1.0	10.0	6.0	6.0	2.0	NO		False	part			
	list_challenge	138.82	0.23		yes	no	1.0	10.0	5.0	8.0	3.0	No		False	twist			
mean		111.18	0.77				1.0	9.8	6.6	5.2	1.8							
median		105.61	0.89				1.0	10.0	6.0	5.0	2.0							
standard_deviation		44.81	0.32				0.0	0.45	1.34	2.17	1.3							
min		53.12	0.23				1.0	9.0	5.0	2.0	0.0							
max		169.3	1.0				1.0	10.0	8.0	8.0	3.0					5.0	3.0	0.6
