lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
stroke_vb	vvd	1855	1	fic_1855_2494.txt-2484-7	 	She moaned in very sympathy, and stroked gently back the straight raven hair, now clotted with blood.	33:40	0:101	She moaned in very sympathy , and stroked gently back the straight raven hair , now clotted with blood .	7	0:20	she moan in very sympathy , and stroke gently back the straight raven hair , now clot with blood .	pphs1 vvd ii_rp@ jj@ nn1 y cc vvd rr rp at jj jj_nn1 nn1 y rt vvd_vvn@ iw nn1 y
stroke_vb	vvg	1860	1	fic_1860_9072.txt-584-26	 	A little later, she once more glided up the staircase, seated herself on a low stool at her father's feet, and, stroking the head of her little gazelle, listened attentively to the animated conversation,	112:120	0:203	A little later , she once more glided up the staircase , seated herself on a low stool at her father 's feet , and , stroking the head of her little gazelle , listened attentively to the animated conversation ,	26	0:41	a little later , she once more glide up the staircase , seat herself on a low stool at her father 's foot , and , stroke the head of her little gazelle , listen attentively to the animated conversation ,	rr21 rr22 rrr_jjr y pphs1 rr21 rr22 vvd_vvn@ rp_ii@ at nn1 y vvd ppx1 ii at1 jj nn1 ii appge nn1 ge nn2 y cc y vvg at nn1 io appge jj nn1 y vvd_vvn rr ii at jj nn1 y
stroke_vb	vvd_vvn@	1855	1	fic_1855_2494.txt-1641-30	 	Florence seated herself, and as she did so, leaned her head on Mary's shoulder, while the latter wound her arm fondly about her, and gently stroked back the	140:147	0:156	Florence seated herself , and as she did so , leaned her head on Mary 's shoulder , while the latter wound her arm fondly about her , and gently stroked back the	30	0:33	florence seat herself , and as she do so , lean her head on mary 's shoulder , while the latter wind her arm fondly about her , and gently stroke back the	np1 vvd ppx1 y cc csa pphs1 vdd rr y vvd appge nn1 ii np1 ge nn1 y cs at da vvd_nn1 appge nn1 rr ii ppho1 y cc rr vvd_vvn@ rp at
stroke_vb	vvd	1822	1	fic_1822_7275.txt-1325-5	 	and as she spoke she stroked Jane's hair back from her pure smooth brow	21:28	0:71	and as she spoke she stroked Jane 's hair back from her pure smooth brow	5	0:15	and as she speak she stroke jane 's hair back from her pure smooth brow	cc csa pphs1 vvd pphs1 vvd np1 ge nn1 rp_nn1 ii appge jj jj nn1
stroke_vb	vvz	1860	1	fic_1860_8596.txt-1078-1	 	-- Strokes his chin -- all laugh and exit, R. H. Rip.	3:10	0:53	-- Strokes his chin -- all laugh and exit , R. H. Rip .	1	0:14	-- stroke his chin -- all laugh and exit , r.-he <nul> rip .	z vvz appge nn1 z db_rr@ vv0 cc nn1_vv0 y np1 np1 np1 y
stroke_vb	vvd	1857	1	fic_1857_2618.txt-240-6	 	As his manner was, he stroked with his hand the long tuft on his chin, before he commenced speaking: " There are things, " he said, " in the speech of the worshipful brother whereof I approve, and others, again, whereunto I may not give my assent.	22:29	0:247	As his manner was , he stroked with his hand the long tuft on his chin , before he commenced speaking : " There are things , " he said , " in the speech of the worshipful brother whereof I approve , and others , again , whereunto I may not give my assent .	6	0:56	as his manner be , he stroke with his hand the long tuft on his chin , before he commence speak : " there be thing , " he say , " in the speech of the worshipful brother whereof i approve , and other , again , whereunto i may not give my assent .	csa_ii@ appge nn1 vbdz y pphs1 vvd iw appge nn1 at jj nn1 ii appge nn1 y cs pphs1 vvd vvg_nn1@ y " ex vbr nn2 y " pphs1 vvd y " ii at nn1 io at jj nn1 rrq ppis1 vv0 y cc nn2 y rt y nn1 ppis1 vm xx vvi appge nn1 y
stroke_vb	vvi	1840	1	mag_1840_554841.txt-227-2	 	He would stroke The head of modest and ingenuous worth That hlushed at its own praise, and press the youth Close to his side that pleased him. "	9:15	0:144	He would stroke The head of modest and ingenuous worth That hlushed at its own praise , and press the youth Close to his side that pleased him . "	2	0:30	he would stroke the head of modest and ingenuous worth that hlushed at its own praise , and press the youth close to his side that please him . "	pphs1 vm vvi at nn1 io jj cc jj ii_nn1@ dd1_cst vvd_<sub> ii appge da nn1 y cc vv0 at nn1 rr_jj ii appge nn1 cst vvd@ ppho1 y "
stroke_vb	vvd	1819	1	fic_1819_8618.txt-457-20	 	, Abbot upon wrecks; To Jacobs then, to Jacobson turn'd next, Then shook his head and stroked his chin perplex'd.	86:93	0:113	, Abbot upon wrecks ; To Jacobs then , to Jacobson turn 'd next , Then shook his head and stroked his chin perplex 'd .	20	0:26	, abbot upon wreck ; to jacobs then , to jacobson turn have next , then shake his head and stroke his chin perplex have .	y np1 ii nn2 y ii np2 jj%_rt y ii np1 nn1 vhd_vm md y rt vvd appge nn1 cc vvd appge nn1 nn1 vm_vhd y
stroke_vb	vvd	1860	1	fic_1860_3347.txt-720-8	 	No one ever called her beautiful, nor stroked her hair, nor kissed her brow; and when she stood by the side of the twin sisters at the gate, and the people, in passing, praised the flaxen	38:45	0:187	No one ever called her beautiful , nor stroked her hair , nor kissed her brow ; and when she stood by the side of the twin sisters at the gate , and the people , in passing , praised the flaxen	8	0:42	no one ever call her beautiful , nor stroke her hair , nor kiss her brow ; and when she stand by the side of the twin sister at the gate , and the people , in passing , praise the flaxen	pn121 pn122 rr vvn_vvd@ appge_ppho1 jj y cc vvd appge nn1 y cc vvd appge nn1 y cc rrq_cs pphs1 vvd ii at nn1 io at nn1_jj@ nn2 ii at nn1 y cc at nn y ii nn1_vvg_jj y vvd_vvn at jj_nn1
stroke_vb	vvd	1855	1	fic_1855_9773.txt-2011-17	 	And his eye ran from the name of Bodgers to the name of Flint, and he stroked his wig in a reflective manner, and laid the paper upon his knee, and removing his spectacles, placed them upon it, and eyeing keenly Mr. Quid, said: " It's my opinion, sir, that this paper is a forgery! "	70:77	0:283	And his eye ran from the name of Bodgers to the name of Flint , and he stroked his wig in a reflective manner , and laid the paper upon his knee , and removing his spectacles , placed them upon it , and eyeing keenly Mr. Quid , said : " It 's my opinion , sir , that this paper is a forgery ! "	17	0:67	and his eye run from the name of bodgers to the name of flint , and he stroke his wig in a reflective manner , and lay the paper upon his knee , and remove his spectacle , place them upon it , and eye keenly mr.- quid , say : " it be my opinion , sir , that this paper be a forgery ! "	cc appge nn1 vvd ii at nn1 io nn2_<sub> ii at nn1 io np1 y cc pphs1 vvd appge nn1 ii at1 jj nn1 y cc vvd_vvn at nn1 ii appge nn1 y cc vvg appge nn2 y vvd@_vvn ppho2 ii pph1 y cc vvg rr nnb np1 y vvd y " pph1 vbz appge nn1 y nn1 y cst dd1 nn1 vbz at1 nn1 ! "
