lemma	identifier	context	indexes_target_token	context_normalized
Pachtzins	baumstark_encyclopaedie_1835-17495-57	Jedoch man macht besonders beim Salzmonopole den Einwand, daß es für den Volkswohlstand äußerst nützlich sei, im ganzen Lande einen gleichförmigen Salzpreis zu erhalten und daß dies vorzüglich durch die Salzsteuer, wenn der Staat die Regie nicht habe, erschwert werde, weil die Kosten der Versendung, die Haltung der Magazine und der Pachtzins einen weit größeren Aufwand begründen müsse, als die Regiekosten des Staats betrügen, und der deßhalb und durch die Steuer steigende Salzpreis die Consumtion des Salzes und den Steuerertrag vermindern, so wie die Lust zum einschwärzen vergrößern werde6).	334:343	Jedoch man macht besonders beim Salzmonopole den Einwand , daß es für den Volkswohlstand äußerst nützlich sei , im ganzen Lande einen gleichförmigen Salzpreis zu erhalten und daß dies vorzüglich durch die Salzsteuer , wenn der Staat die Regie nicht habe , erschwert werde , weil die Kosten der Versendung , die Haltung der Magazine und der Pachtzins einen weit größeren Aufwand begründen müsse , als die Regiekosten des Staats betrügen , und der deshalb und durch die Steuer steigende Salzpreis die Konsumtion des Salzes und den Steuerertrag vermindern , so wie die Lust zum einschwärzen vergrößern werde6 ) .
Pachtzins	fontane_brandenburg02_1863-6330-3	Später wurde der Pachtzins wahrscheinlich ausschließlich in Geld geleistet, weshalb wir von einer Kasse sprechen hören, die sich auf dem Schulzenhof in Kienbaum befand und daselbst verwaltet wurde.	17:26	Später wurde der Pachtzins wahrscheinlich ausschließlich in Geld geleistet , weshalb wir von einer Kasse sprechen hören , die sich auf dem Schulzenhof in Kienbaum befand und daselbst verwaltet wurde .
Pachtzins	baumstark_encyclopaedie_1835-17605-46	93. Uebers. von v. Th. VI. 73. Allein man ist der Meinung, es seien wenige Menschen so vermögend und einflußreich, daß man ihnen die Post anvertrauen könne, und ein Privatunternehmer würde jeden ansehnlichen Monopolgewinn in Anspruch nehmen, während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Post hohes Porto bezahlen müßten; auch könnten Privatunternehmer fremdem Einflusse zugänglich sein und die Staatscorrespondenz belauern (Rau III. §. 210.).	274:283	93. Uebers. von v. Th. VI. 73. Allein man ist der Meinung , es seien wenige Menschen so vermögend und einflußreich , daß man ihnen die Post anvertrauen könne , und ein Privatunternehmer würde jeden ansehnlichen Monopolgewinn in Anspruch nehmen , während der Staat einen kleinen Pachtzins erhalten würde und die Benutzer der Post hohes Porto bezahlen müßten ; auch könnten Privatunternehmer fremdem Einflusse zugänglich sein und die Staatskorrespondenz belauern ( Rau III. §. 210. ) .
Pachtzins	baumstark_encyclopaedie_1835-6855-31	Denn Nachlässigkeit und Unterschlagung von Seiten derselben ist die schlimmste Beziehung dieser Bewirthschaftungsart1); 2) durch Verpachtung, d. h. indem man dasselbe einem Anderen gegen eine Vergütung (Pachtzins) zur Nutzung überläßt.	203:212	Denn Nachlässigkeit und Unterschlagung von Seiten derselben ist die schlimmste Beziehung dieser Bewirthschaftungsart1 ) ; 2 ) durch Verpachtung , d. h. indem man dasselbe einem Anderen gegen eine Vergütung ( Pachtzins ) zur Nutzung überläßt .
Pachtzins	baumstark_encyclopaedie_1835-12453-8	Die Rente aus der Verpachtung von Grundstücken heißt Pachtzins.	53:62	Die Rente aus der Verpachtung von Grundstücken heißt Pachtzins .
Pachtzins	baumstark_encyclopaedie_1835-14687-12	Je sicherer die Caution ist, desto niedriger kann daher auch der Pachtzins werden.	65:74	Je sicherer die Kaution ist , desto niedriger kann daher auch der Pachtzins werden .
Pachtzins	baumstark_encyclopaedie_1835-14686-19	Letztere berechnet der Verpachter nebst seinen Verlusten durch schlechte Naturalien, schlechte Münzen u. dgl. bei der Calculation des Pachtzinses mit ein.	134:145	Letztere berechnet der Verpachter nebst seinen Verlusten durch schlechte Naturalien , schlechte Münzen u. dgl. bei der Kalkulation des Pachtzinses mit ein .
Pachtzins	baumstark_encyclopaedie_1835-17318-31	Die Erbzinsverleihung, d. h. Ueberlassung des vollständigen erblichen Eigenthums der Nutzung am Gute unter Vorbehalt des Obereigenthums, zu dessen bloßer Anerkennung eine sich nicht nach dem Gutsertrage oder üblichen Pachtzinse richtende Abgabe (Erbenzins) jährlich bezahlt werden muß.	217:227	Die Erbzinsverleihung , d. h. Überlassung des vollständigen erblichen Eigentums der Nutzung am Gute unter Vorbehalt des Obereigentums , zu dessen bloßer Anerkennung eine sich nicht nach dem Gutsertrage oder üblichen Pachtzinse richtende Abgabe ( Erbenzins ) jährlich bezahlt werden muß .
Pachtzins	baumstark_encyclopaedie_1835-14609-8	Aber c) die ausbedungene Grundrente oder der Pachtzins, er werde ganz oder zum Theile in Geld und zum Theile in Naturalien entrichtet, ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren, nämlich nach dem Werthe der Nutzung, nach den zum Bezuge des Ertrages zu machenden Kostenauslagen, nach der Zahlfähigkeit des Pachters, nach dem üblichen Pachtzinse, nach den Concurrenzverhältnissen, und nach dem Geldwerthe6).	45:54	Aber c ) die ausbedungene Grundrente oder der Pachtzins , er werde ganz oder zum Teile in Geld und zum Teile in Naturalien entrichtet , ist nichts als ein Preis für die gestaltete Bodenbenutzung und richtet sich also nach den Preisregulatoren , nämlich nach dem Werte der Nutzung , nach den zum Bezuge des Ertrages zu machenden Kostenauslagen , nach der Zahlfähigkeit des Pachters , nach dem üblichen Pachtzinse , nach den Konkurrenzverhältnissen , und nach dem Geldwerthe6 ) .
Pachtzins	keller_seldwyla_1856-1019-13	Die Lumpen möchten indessen gar zu gern etwas zu naschen bekommen durch den Pachtzins, was sie freilich mit der Verkaufssumme auch thun könnten; allein wir würden uns hüten, dasselbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört! «	76:85	Die Lumpen möchten indessen gar zu gern etwas zu naschen bekommen durch den Pachtzins , was sie freilich mit der Verkaufssumme auch tun könnten ; allein wir würden uns hüten , dasselbe zu hoch hinauf zu treiben und wir wüßten dann doch was wir hätten und wem das Land gehört ! "
