lemma   identifier1     identifier2     context1        context2        indexes_target_token1   indexes_target_token2   judgmentafternoon	fic_1851_3300.txt-1083-18	fic_1993_25029.txt-3169-3	The last part of Louis ' speech was nearly inaudible, and no more was said until the afternoon.	Then came an afternoon road winding high into the Western Ghats, the same road Michael would travel one day years later.	85:94	13:22	4.0
afternoon	fic_1851_3300.txt-1083-18	mag_1855_556005.txt-194-2	The last part of Louis ' speech was nearly inaudible, and no more was said until the afternoon.	One Sabbath afternoon, in the winter of 1753, as he lay on a couch, in the full possession of those noble faculties he had borne so meekly, listening to one of Sherlock's Sermons, his wife beside and his children around him, the gentle and exalted spirit of	85:94	12:21	4.0
afternoon	fic_1851_3300.txt-1083-18	nf_1834_755185.txt-2925-9	The last part of Louis ' speech was nearly inaudible, and no more was said until the afternoon.	Beach not to proceed up the river until the afternoon of the next day, as the sight of troops by the miners might make them hard to manage; otherwise, I assured the Major, he would have no trouble.	85:94	44:53	4.0
afternoon	fic_1852_69.txt-6782-7	fic_1997_54614.txt-159-18	It was towards the middle of the afternoon, as she was so reclining, -- her Bible half open, her little transparent fingers lying listlessly between the leaves, -- suddenly she heard her mother's voice, in sharp tones, in the verandah. "	lust jumped out of it, out of my seat, out of my job (for the afternoon).	33:42	62:71	4.0
afternoon	fic_1852_9232.txt-4688-51	fic_1988_10770.txt-925-3	He remembered her round, well-proportioned figure, the sweet smile upon her face, the pleasant sparkle in her eye, and the grateful beverage in her hand; and he so earnestly pressed his ruminations and convictions on his friend Nettles, that the latter posted off one pleasant afternoon to the " Lodge, " and did not return home until the next day.	Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.	277:286	31:40	4.0
afternoon	fic_1852_9832.txt-2197-8	mag_1855_556005.txt-194-2	" He said he calculated to plough this afternoon, " said Mrs. Barrington, as if that held out some slight hope of Ezra's coming home before night. "	One Sabbath afternoon, in the winter of 1753, as he lay on a couch, in the full possession of those noble faculties he had borne so meekly, listening to one of Sherlock's Sermons, his wife beside and his children around him, the gentle and exalted spirit of	39:48	12:21	4.0
afternoon	fic_1852_9832.txt-3009-7	fic_1988_10770.txt-925-3	we may send for these things this afternoon, but perhaps not till to-morrow.	Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.	34:43	31:40	4.0
afternoon	fic_1852_9832.txt-757-5	fic_1854_5388.txt-1142-35	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.	24:33	146:155	4.0
afternoon	fic_1852_9832.txt-757-5	fic_1973_10570.txt-2425-28	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	I t was not to watch the seventh place Reapers take on the eighth place Mundys that a record-breaking forty-two thousandhad assembled in Reaper Field on a weekday afternoon -- rather, they had come, some from as far as two hundred miles upstate, to see justice done.	24:33	163:172	4.0
afternoon	fic_1852_9832.txt-757-5	fic_1976_23909.txt-198-3	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	He spent whole afternoons in his study making notes for counter or improved proposals he thought he would send to Chipande or one of the other people he knew in high positions: every time he glanced up, there through his open windows was Muchanga's little company at the bottom of the garden.	24:33	15:25	4.0
afternoon	fic_1852_9832.txt-757-5	fic_2001_29742.txt-130-10	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	Peter had watched Huey whittling for much of the previous afternoon, but he hadn't been able to tell what Huey was working on.	24:33	58:67	4.0
afternoon	fic_1852_9832.txt-757-5	fic_2008_36241.txt-90-1	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	This afternoon we were given presentations and speeches in a windowless conference room crowded with desks and plastic chairs.	24:33	5:14	4.0
afternoon	fic_1852_9832.txt-757-5	mag_1996_424983.txt-549-1	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	One afternoon, when we had been on the water about a week, I climbed to the roof of the bridge.	24:33	4:13	4.0
afternoon	fic_1852_9832.txt-757-5	nf_1857_753133.txt-1759-5	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	One little incident in our afternoon travel I will mention, as it appeared to afford more pleasure to the rest of the passengers than it did to me.	24:33	27:36	4.0
afternoon	fic_1852_9832.txt-757-5	nf_2006_776561.txt-30-8	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	Sitting in on a class in the late afternoon, listening to him draw on his experiences from his Stanley days, I imagined that beyond the nineteen young peo- ple seated in the room, he was speaking to all those he knew back home, explaining that he had done as well as any executive could, in a very changed world, to preserve Stanley as it was.	24:33	34:43	4.0
afternoon	fic_1853_4303.txt-2902-31	fic_1853_7732.txt-4-29	At noon where they halted the face of the country was much as it was when they set out in the morning; but, after a rapid ride in the afternoon, the vegetation entirely disappeared except the rank grass, leaving a broad prairie before them.	and the hollow moan Of the fitful breeze had a plaintive tone; And it seemed, though in the heart of June, Like the year's autumnal afternoon.	134:143	132:141	4.0
afternoon	fic_1854_5388.txt-1142-35	fic_1855_2965.txt-1882-18	In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.	But the latter felt too tired to walk about a great deal, and spent most of the afternoon in the hotel, while his uncle was off attending to some business.	146:155	80:89	4.0
afternoon	fic_1854_5388.txt-1142-35	fic_1988_10770.txt-925-3	In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.	Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.	146:155	31:40	4.0
afternoon	fic_1854_5388.txt-1142-35	fic_2007_34112.txt-95-13	In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.	Two minutes earlier, she'd pulled into the garage on a sunny afternoon, another school year over, U2 playing on the radio.	146:155	61:70	3.0
