	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	median_label	non_nan_count
0	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0		4.0	4.0			4.0	3
1	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0	3.0		4.0			4.0	3
2	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	afternoon	dwug_en		4.0	4.0				4.0	2
3	fic_1825_7041.txt-1647-2	fic_1850_2310.txt-1321-9	afternoon	dwug_en	3.0					4.0	3.5	2
5	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	afternoon	dwug_en		4.0		4.0			4.0	2
6	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	afternoon	dwug_en	4.0	4.0					4.0	2
7	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	afternoon	dwug_en		4.0	4.0				4.0	2
8	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	afternoon	dwug_en		4.0	4.0				4.0	2
10	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0					4.0	4.0	2
11	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	afternoon	dwug_en	4.0		4.0				4.0	2
12	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	afternoon	dwug_en		4.0	4.0				4.0	2
14	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	afternoon	dwug_en	4.0		4.0				4.0	2
20	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	afternoon	dwug_en	4.0	2.0					3.0	2
22	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	afternoon	dwug_en	4.0		4.0				4.0	2
23	fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	afternoon	dwug_en	4.0			4.0			4.0	2
24	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	afternoon	dwug_en	4.0	4.0		4.0			4.0	3
25	fic_1834_7323.txt-604-27	fic_1850_2310.txt-1321-9	afternoon	dwug_en			4.0	4.0			4.0	2
29	fic_1835_7272.txt-2343-15	fic_1852_9832.txt-757-5	afternoon	dwug_en		4.0	4.0				4.0	2
30	fic_1835_7353.txt-1190-8	mag_1855_556005.txt-194-2	afternoon	dwug_en		4.0		4.0			4.0	2
34	fic_1839_7352.txt-2123-7	mag_1855_556005.txt-194-2	afternoon	dwug_en	4.0	3.0	3.0				3.0	3
35	fic_1839_8698.txt-603-9	fic_1854_5388.txt-1142-35	afternoon	dwug_en		4.0		4.0			4.0	2
