	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
0	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	afternoon	dwug_en	4.0		4.0	4.0						4.0	3
1	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	afternoon	dwug_en	4.0	3.0		4.0						4.0	3
2	fic_1824_7211.txt-3045-8	fic_1856_2470.txt-7252-13	attack	dwug_en			4.0	4.0						4.0	2
3	fic_1824_7211.txt-3045-8	mag_1828_553929.txt-364-34	attack	dwug_en	3.0		3.0							3.0	2
4	fic_1824_7211.txt-3045-8	mag_1854_555935.txt-131-30	attack	dwug_en	4.0		4.0							4.0	2
6	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	attack	dwug_en		3.0	3.0	2.0						3.0	3
7	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	afternoon	dwug_en		4.0	4.0							4.0	2
8	fic_1825_7041.txt-1647-2	fic_1850_2310.txt-1321-9	afternoon	dwug_en	3.0					4.0				3.5	2
10	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	afternoon	dwug_en		4.0		4.0						4.0	2
11	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	afternoon	dwug_en	4.0	4.0								4.0	2
12	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	afternoon	dwug_en		4.0	4.0							4.0	2
13	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	afternoon	dwug_en		4.0	4.0							4.0	2
15	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	afternoon	dwug_en	4.0					4.0				4.0	2
16	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	afternoon	dwug_en	4.0		4.0							4.0	2
17	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	afternoon	dwug_en		4.0	4.0							4.0	2
19	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	afternoon	dwug_en	4.0		4.0							4.0	2
27	fic_1827_9759.txt-3739-20	fic_1838_7086.txt-2732-33	attack	dwug_en			3.0	4.0						3.5	2
28	fic_1827_9759.txt-3739-20	fic_1982_780070.txt-3698-5	attack	dwug_en				2.0				3.0		2.5	2
32	fic_1831_7210.txt-1507-8	mag_1828_553929.txt-364-34	attack	dwug_en	4.0	3.0								3.5	2
34	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	afternoon	dwug_en	4.0	2.0								3.0	2
36	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	attack	dwug_en	4.0			4.0						4.0	2
