lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4
attack	fic_1846_7679.txt-262-9	fic_2000_29245.txt-31-12	3.0	fic_1854_9193.txt-8301-13	4.0	mag_1828_553929.txt-364-34	2.0	mag_1970_282294.txt-7-3	1.0
attack	fic_1853_2486.txt-330-33	fic_1968_781997.txt-4233-2	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1849_525337.txt-118-18	mag_1980_296543.txt-17-11	3.0	mag_1854_555935.txt-131-30	4.0	mag_1854_555935.txt-131-30	2.0		
attack	fic_1833_7239.txt-1694-15	mag_1846_555400.txt-243-7	3.0	nf_1845_747928.txt-826-66	2.0	fic_1838_7086.txt-2732-33	4.0		
attack	fic_1852_2364.txt-6112-60	news_1991_612479.txt-40-20	3.0	fic_1838_7086.txt-2732-33	4.0	mag_1993_424232.txt-41-14	2.0		
attack	mag_1822_553405.txt-347-16	fic_1854_9193.txt-8301-13	4.0	news_1991_612479.txt-40-20	3.0	fic_1854_9193.txt-8301-13	2.0		
attack	mag_1822_553405.txt-345-25	fic_1854_9193.txt-8301-13	4.0	fic_1854_9193.txt-8301-13	3.0	fic_1854_9193.txt-8301-13	2.0		
attack	nf_1847_754437.txt-3107-5	fic_2009_36778.txt-461-18	3.0	fic_2009_36778.txt-461-18	2.0	fic_2009_36778.txt-461-18	4.0		
attack	mag_1832_564239.txt-203-30	news_1998_626765.txt-4-8	4.0	mag_1828_553929.txt-364-34	3.0	mag_1858_506134.txt-148-19	2.0		
attack	fic_1856_2470.txt-7252-13	mag_1854_555935.txt-131-30	2.0	mag_1854_555935.txt-131-30	3.0	news_1967_726451.txt-39-2	4.0		
attack	fic_1853_9142.txt-2686-17	mag_2002_398773.txt-149-9	3.0	fic_1854_9193.txt-8301-13	2.0	news_1967_726451.txt-39-2	4.0		
attack	fic_1834_2652.txt-2410-34	news_1982_671107.txt-19-96	4.0	mag_1828_553929.txt-364-34	3.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1834_2652.txt-5065-36	mag_1828_553929.txt-364-34	4.0	mag_1845_555245.txt-299-1	3.0	mag_1828_553929.txt-364-34	2.0		
attack	nf_1847_754437.txt-1509-47	fic_1839_7024.txt-2377-9	3.0	news_1991_612479.txt-40-20	4.0	fic_2002_30623.txt-303-9	1.0		
attack	fic_1845_622.txt-11187-51	mag_1828_553929.txt-364-34	4.0	news_1994_606745.txt-26-26	3.0	mag_1828_553929.txt-364-34	2.0		
attack	mag_1838_554586.txt-186-30	mag_1828_553929.txt-364-34	3.0	fic_1854_9193.txt-8301-13	4.0	mag_1828_553929.txt-364-34	2.0		
attack	fic_1853_1170.txt-2289-22	news_1991_612479.txt-40-20	2.0	news_1982_671107.txt-19-96	4.0	news_1982_671107.txt-19-96	1.0		
attack	fic_1860_8118.txt-4037-43	mag_1828_553929.txt-364-34	2.0	mag_1828_553929.txt-364-34	3.0	fic_1856_2470.txt-7252-13	4.0		
attack	mag_1823_553456.txt-249-22	news_1966_725841.txt-34-33	4.0	news_1966_725841.txt-34-33	2.0	news_1991_612479.txt-40-20	3.0		
attack	fic_1845_7170.txt-4861-9	fic_1993_25035.txt-820-7	2.0	mag_1828_553929.txt-364-34	3.0	fic_1993_25035.txt-820-7	1.0		
attack	mag_1828_553929.txt-364-34	mag_1858_506134.txt-148-19	3.0	mag_1832_564345.txt-180-28	2.0	nf_1859_747415.txt-25-18	4.0		
attack	nf_1829_751465.txt-2786-42	fic_2009_36778.txt-461-18	4.0	fic_2009_36778.txt-461-18	3.0	fic_2009_36778.txt-461-18	2.0		
attack	fic_1854_9193.txt-8301-13	news_1998_626765.txt-4-8	3.0	fic_1848_7009.txt-1181-32	4.0	fic_1848_7009.txt-1181-32	2.0		
