reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1839_7297.txt-76-50	fic_1853_9158.txt-4207-8	0.7093846797943115	fic_1828_7070.txt-143-50	0.891304075717926	missing_usage	0.3900311291217804	fic_1969_10516.txt-2239-11	0.0	['fic_1828_7070.txt-143-50', 'fic_1853_9158.txt-4207-8', 'fic_1969_10516.txt-2239-11']	['fic_1853_9158.txt-4207-8', 'fic_1828_7070.txt-143-50', 'fic_1969_10516.txt-2239-11']
mag_1852_504502.txt-86-15	mag_1964_269943.txt-12-18	0.7049634456634521	fic_1978_10634.txt-2192-13	0.45502686500549316	mag_1964_269943.txt-24-18	0.39269983768463135	missing_usage	0.0	['mag_1964_269943.txt-12-18', 'fic_1978_10634.txt-2192-13', 'mag_1964_269943.txt-24-18']	['mag_1964_269943.txt-12-18', 'fic_1978_10634.txt-2192-13', 'mag_1964_269943.txt-24-18']
fic_1828_7070.txt-143-50	fic_1978_10634.txt-2192-13	0.4526294767856598	fic_1857_2618.txt-1945-11	0.7980446815490723	missing_usage	0.891304075717926	fic_1839_7297.txt-76-50	0.0	['fic_1857_2618.txt-1945-11', 'fic_1978_10634.txt-2192-13', 'fic_1839_7297.txt-76-50']	['fic_1857_2618.txt-1945-11', 'fic_1839_7297.txt-76-50', 'fic_1978_10634.txt-2192-13']
nf_1844_749098.txt-834-1	fic_1972_780113.txt-919-26	0.614631175994873	missing_usage	0.5493729114532471	fic_1989_10786.txt-5538-17	0.8413177728652954	fic_1989_16255.txt-885-6	0.0	['fic_1989_10786.txt-5538-17', 'fic_1972_780113.txt-919-26', 'fic_1989_16255.txt-885-6']	['fic_1972_780113.txt-919-26', 'fic_1989_16255.txt-885-6', 'fic_1989_10786.txt-5538-17']
mag_1964_269943.txt-24-18	mag_1852_504502.txt-86-15	0.39269983768463135	nf_1972_774123.txt-308-4	0.33330217003822327	fic_2001_45760.txt-188-2	0.5647661685943604	fic_1855_1209.txt-773-2	0.3852233588695526	['fic_2001_45760.txt-188-2', 'mag_1852_504502.txt-86-15', 'fic_1855_1209.txt-773-2', 'nf_1972_774123.txt-308-4']	['nf_1972_774123.txt-308-4', 'fic_1855_1209.txt-773-2', 'fic_2001_45760.txt-188-2', 'mag_1852_504502.txt-86-15']
fic_1978_10636.txt-13759-17	fic_1828_7070.txt-143-50	0.47733521461486816	missing_usage	0.4361768364906311	nf_1988_773733.txt-759-41	0.7528018951416016	fic_1981_10675.txt-779-2	0.0	['nf_1988_773733.txt-759-41', 'fic_1828_7070.txt-143-50', 'fic_1981_10675.txt-779-2']	['fic_1981_10675.txt-779-2', 'nf_1988_773733.txt-759-41', 'fic_1828_7070.txt-143-50']
fic_1964_781989.txt-2759-38	fic_1972_16752.txt-3038-15	0.5251951217651367	mag_1964_269943.txt-12-18	0.6721250414848328	missing_usage	0.659858763217926	nf_2007_776450.txt-89-6	0.0	['mag_1964_269943.txt-12-18', 'fic_1972_16752.txt-3038-15', 'nf_2007_776450.txt-89-6']	['fic_1972_16752.txt-3038-15', 'nf_2007_776450.txt-89-6', 'mag_1964_269943.txt-12-18']
fic_1989_10786.txt-5538-17	fic_1982_10687.txt-7159-18	0.40523165464401245	missing_usage	0.6465613842010498	fic_1978_10634.txt-2192-13	0.5005941987037659	mag_1964_269943.txt-12-18	0.0	['fic_1978_10634.txt-2192-13', 'fic_1982_10687.txt-7159-18', 'mag_1964_269943.txt-12-18']	['fic_1978_10634.txt-2192-13', 'fic_1982_10687.txt-7159-18', 'mag_1964_269943.txt-12-18']
mag_1964_269943.txt-12-18	mag_1836_554391.txt-88-8	0.7998982071876526	missing_usage	0.6721250414848328	fic_1964_781989.txt-2759-38	0.6397603750228882	fic_1978_10634.txt-2192-13	0.0	['mag_1836_554391.txt-88-8', 'fic_1964_781989.txt-2759-38', 'fic_1978_10634.txt-2192-13']	['mag_1836_554391.txt-88-8', 'fic_1978_10634.txt-2192-13', 'fic_1964_781989.txt-2759-38']
fic_1978_10634.txt-2192-13	mag_1964_269943.txt-12-18	0.6397603750228882	missing_usage	0.7998249530792236	fic_1978_10636.txt-13759-17	0.4526294767856598	fic_1828_7070.txt-143-50	0.0	['mag_1964_269943.txt-12-18', 'fic_1978_10636.txt-13759-17', 'fic_1828_7070.txt-143-50']	['fic_1978_10636.txt-13759-17', 'mag_1964_269943.txt-12-18', 'fic_1828_7070.txt-143-50']
