reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1823_7241.txt-198-31	fic_1845_7183.txt-2471-9	0.5133531093597412	fic_1980_10661.txt-2769-23	0.40922123193740845	missing_usage	0.388018399477005	news_1998_615318.txt-26-18	0.0	['fic_1845_7183.txt-2471-9', 'fic_1980_10661.txt-2769-23', 'news_1998_615318.txt-26-18']	['fic_1980_10661.txt-2769-23', 'news_1998_615318.txt-26-18', 'fic_1845_7183.txt-2471-9']
fic_1845_7170.txt-988-68	fic_1853_9040.txt-98-30	0.458706796169281	missing_usage	0.41759246587753296	mag_1997_398797.txt-19-2	0.3076744079589844	fic_1982_10695.txt-1606-3	0.0	['fic_1853_9040.txt-98-30', 'mag_1997_398797.txt-19-2', 'fic_1982_10695.txt-1606-3']	['fic_1853_9040.txt-98-30', 'fic_1982_10695.txt-1606-3', 'mag_1997_398797.txt-19-2']
fic_1859_9037.txt-581-12	fic_1997_43068.txt-391-8	0.756636381149292	missing_usage	0.7404079437255859	nf_1856_755595.txt-438-35	0.8126623630523682	mag_1853_504777.txt-58-45	0.0	['nf_1856_755595.txt-438-35', 'fic_1997_43068.txt-391-8', 'mag_1853_504777.txt-58-45']	['nf_1856_755595.txt-438-35', 'mag_1853_504777.txt-58-45', 'fic_1997_43068.txt-391-8']
fic_1852_9804.txt-139-32	fic_1853_9040.txt-866-11	0.9134024977684021	mag_1987_487710.txt-71-10	0.19276359677314758	fic_1823_7241.txt-198-31	0.344773530960083	missing_usage	0.0	['fic_1853_9040.txt-866-11', 'fic_1823_7241.txt-198-31', 'mag_1987_487710.txt-71-10']	['fic_1853_9040.txt-866-11', 'fic_1823_7241.txt-198-31', 'mag_1987_487710.txt-71-10']
fic_1859_9037.txt-397-2	mag_1968_490663.txt-60-13	0.23770299553871155	mag_2006_384882.txt-68-13	0.9679470062255859	fic_1859_9037.txt-427-43	0.6414638757705688	missing_usage	0.0	['mag_2006_384882.txt-68-13', 'fic_1859_9037.txt-427-43', 'mag_1968_490663.txt-60-13']	['mag_2006_384882.txt-68-13', 'fic_1859_9037.txt-427-43', 'mag_1968_490663.txt-60-13']
fic_1835_7268.txt-1888-52	missing_usage	0.22203582525253296	mag_1968_490663.txt-60-13	0.9625825881958008	fic_1997_43068.txt-391-8	0.41905274987220764	fic_1823_7241.txt-198-31	0.0	['mag_1968_490663.txt-60-13', 'fic_1997_43068.txt-391-8', 'fic_1823_7241.txt-198-31']	['fic_1997_43068.txt-391-8', 'fic_1823_7241.txt-198-31', 'mag_1968_490663.txt-60-13']
fic_1859_9037.txt-612-11	fic_1851_746.txt-758-90	0.7173364162445068	missing_usage	0.5261121392250061	fic_1997_43068.txt-391-8	0.6316454410552979	fic_1854_9230.txt-3965-48	0.0	['fic_1851_746.txt-758-90', 'fic_1997_43068.txt-391-8', 'fic_1854_9230.txt-3965-48']	['fic_1851_746.txt-758-90', 'fic_1997_43068.txt-391-8', 'fic_1854_9230.txt-3965-48']
fic_1851_746.txt-758-90	missing_usage	0.38137221336364746	mag_1987_487710.txt-71-10	0.7173364162445068	fic_1859_9037.txt-612-11	0.37509578466415405	mag_1968_490663.txt-60-13	0.0	['mag_1987_487710.txt-71-10', 'fic_1859_9037.txt-612-11', 'mag_1968_490663.txt-60-13']	['fic_1859_9037.txt-612-11', 'mag_1987_487710.txt-71-10', 'mag_1968_490663.txt-60-13']
mag_1987_487710.txt-71-10	fic_1839_7182.txt-137-2	0.22791282832622528	fic_1851_746.txt-758-90	0.38137221336364746	mag_1968_490663.txt-60-13	0.9770311117172241	missing_usage	0.0	['mag_1968_490663.txt-60-13', 'fic_1851_746.txt-758-90', 'fic_1839_7182.txt-137-2']	['mag_1968_490663.txt-60-13', 'fic_1851_746.txt-758-90', 'fic_1839_7182.txt-137-2']
mag_1968_490663.txt-60-13	missing_usage	0.27273616194725037	fic_1991_53496.txt-38-6	0.9770311117172241	mag_1987_487710.txt-71-10	0.23693335056304932	fic_1995_39362.txt-547-10	0.0	['fic_1991_53496.txt-38-6', 'mag_1987_487710.txt-71-10', 'fic_1995_39362.txt-547-10']	['mag_1987_487710.txt-71-10', 'fic_1995_39362.txt-547-10', 'fic_1991_53496.txt-38-6']
