lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Tier	NN	1865	1	brehm_thierleben02_1865-16582-20	 	Durch den heftigen Schmerz der Wunden und das lärmende Geschrei der Jäger in rasende Wuth versetzt, achtete das blutende Thier nicht mehr auf die zahlreichen Menschen, sondern stürzte, von Verzweiflung getrieben, mit den letzten Kräften auf Noß und Reiter.	121:126	0:256	Durch den heftigen Schmerz der Wunden und das lärmende Geſchrei der Jäger in raſende Wuth verſetzt , achtete das blutende Thier nicht mehr auf die zahlreichen Menſchen , ſondern ſtürzte , von Verzweiflung getrieben , mit den letzten Kräften auf Noß und Reiter .	20	0:44	durch d heftig Schmerz d Wunde und d lärmend Geschrei d Jäger in rasend Wut versetzen , achten d blutend Tier nicht mehr auf d zahlreich Mensch , sondern stürzen , von Verzweiflung treiben , mit d letzte Kraft auf Noß und Reiter .	APPR ART ADJA NN ART NN KON ART ADJA NN ART NN APPR ADJA NN VVPP $, VVFIN ART ADJA NN PTKNEG ADV APPR ART ADJA NN $, KON VVFIN $, APPR NN VVPP $, APPR ART ADJA NN APPR NE KON NE $.	Durch den heftigen Schmerz der Wunden und das lärmende Geschrei der Jäger in rasende Wut versetzt , achtete das blutende Tier nicht mehr auf die zahlreichen Menschen , sondern stürzte , von Verzweiflung getrieben , mit den letzten Kräften auf Noß und Reiter .
Tier	NN	1868	1	gerland_naturvoelker_1868-637-2	 	» Diese Thiere werden von den Völkern, die sich nach ihnen nennen, heilig gehalten, weder gejagt noch gegessen und man pflegt durch die Frage » was tanzt ihr « nach dem Namen desselben sich zu erkundigen. «	8:14	0:206	» Diese Thiere werden von den Völkern , die sich nach ihnen nennen , heilig gehalten , weder gejagt noch gegessen und man pflegt durch die Frage » was tanzt ihr « nach dem Namen desselben sich zu erkundigen . «	2	0:41	" diese Tier werden von d Volk , die sich nach sie nennen , heilig halten , weder jagen noch essen und man pflegen durch d Frage " was tanzen sie " nach d Name dieselbe sich zu erkundigen . "	$( PDAT NN VAFIN APPR ART NN $, PRELS PRF APPR PPER VVFIN $, ADJD VVPP $, KON VVPP KON VVPP KON PIS VVFIN APPR ART NN $( PWS VVFIN PPER $( APPR ART NN PDS PRF PTKZU VVINF $. $(	" Diese Tiere werden von den Völkern , die sich nach ihnen nennen , heilig gehalten , weder gejagt noch gegessen und man pflegt durch die Frage " was tanzt ihr " nach dem Namen desselben sich zu erkundigen . "
Tier	NN	1869	1	brehm_thierleben06_1869-17654-14	 	Jn dem feinen Sande, welcher unten schlammig und faul wurde, gingen die Thiere sehr schnell zu Grunde.	72:78	0:102	Jn dem feinen Sande , welcher unten ſchlammig und faul wurde , gingen die Thiere ſehr ſchnell zu Grunde .	14	0:20	in d fein Sand , welche unten schlammig und faul werden , gehen d Tier sehr schnell zu Grund .	APPR ART ADJA NN $, PRELS ADV ADJD KON ADJD VAFIN $, VVFIN ART NN ADV ADJD APPR NN $.	In dem feinen Sande , welcher unten schlammig und faul wurde , gingen die Tiere sehr schnell zu Grunde .
Tier	NN	1805	1	oken_biologie_1805-465-17	 	Die Zahl dieser Sinne, ihre Stellung zu einander, und die streng darauf gegründete Eintheilung der Thiere, wie ich es in meiner Uebersicht etc. der Theorie der Sinne dem Publicum vorgelegt habe, finde ich, obgleich nun seitdem mehre Jahre verflossen sind, in denen ich rastlos nach Berichtigung forschte, durch alle mir bekannt gewordenen Erfahrungen bestättiget, so dass ich nun die folgende Darstellung nicht nur als der Wissenschaft gemäss, welche die Sinne als die höchsten Widerstralungen der Sinne des Universums erkennt, sondern auch selbst die Subsumtion jedes einzelnen Sinnes, und jeder Thierklasse unter die vorgebildete Naturfunction, als durch die Erfahrung, so weit sie bis jezt reicht, durchgängig nachgewiesen, anzugeben mich im Stande sehe.	99:105	0:757	Die Zahl dieſer Sinne , ihre Stellung zu einander , und die streng darauf gegründete Eintheilung der Thiere , wie ich es in meiner Ueberſicht etc. der Theorie der Sinne dem Publicum vorgelegt habe , finde ich , obgleich nun seitdem mehre Jahre verfloſſen sind , in denen ich raſtlos nach Berichtigung forſchte , durch alle mir bekannt gewordenen Erfahrungen beſtättiget , so daſs ich nun die folgende Darſtellung nicht nur als der Wiſſenſchaft gemäſs , welche die Sinne als die höchſten Widerſtralungen der Sinne des Univerſums erkennt , sondern auch selbſt die Subſumtion jedes einzelnen Sinnes , und jeder Thierklaſſe unter die vorgebildete Naturfunction , als durch die Erfahrung , so weit sie bis jezt reicht , durchgängig nachgewieſen , anzugeben mich im Stande sehe .	17	0:127	d Zahl diese Sinn , ihr Stellung zu einander , und d streng darauf gegründet Einteilung d Tier , wie ich es in meine Übersicht etc. d Theorie d Sinn d Publikum vorlegen haben , finden ich , obgleich nun seitdem mehrere Jahr verfließen sein , in die ich rastlos nach Berichtigung forschen , durch alle ich bekannt geworden Erfahrung bestätigen , so dass ich nun d folgend Darstellung nicht nur als d Wissenschaft gemäß , welche d Sinn als d hoch Widerstrahlung d Sinn d Universum erkennen , sondern auch selbst d Subsumtion jede einzeln Sinn , und jede Tierklasse unter d vorgebildet Naturfunktion , als durch d Erfahrung , so weit sie bis jetzt reichen , durchgängig nachweisen , angeben ich im Stand sehen .	ART NN PDAT NN $, PPOSAT NN APPR PRF $, KON ART ADJD PAV ADJA NN ART NN $, PWAV PPER PPER APPR PPOSAT NN ADV ART NN ART NN ART NN VVPP VAFIN $, VVFIN PPER $, KOUS ADV ADV PIAT NN VVPP VAFIN $, APPR PRELS PPER ADJD APPR NN VVFIN $, APPR PIS PPER ADJD ADJA NN VVFIN $, ADV KOUS PPER ADV ART ADJA NN PTKNEG ADV KOKOM ART NN ADJD $, PRELS ART NN KOKOM ART ADJA NN ART NN ART NN VVFIN $, KON ADV ADV ART NN PIAT ADJA NN $, KON PIAT NN APPR ART ADJA NN $, KOKOM APPR ART NN $, ADV ADJD PPER ADV ADV VVFIN $, ADJD VVPP $, VVIZU PPER APPRART NN VVFIN $.	Die Zahl dieser Sinne , ihre Stellung zu einander , und die streng darauf gegründete Einteilung der Tiere , wie ich es in meiner Übersicht etc. der Theorie der Sinne dem Publikum vorgelegt habe , finde ich , obgleich nun seitdem mehrere Jahre verflossen sind , in denen ich rastlos nach Berichtigung forschte , durch alle mir bekannt gewordenen Erfahrungen bestätiget , so dass ich nun die folgende Darstellung nicht nur als der Wissenschaft gemäß , welche die Sinne als die höchsten Widerstrahlungen der Sinne des Universums erkennt , sondern auch selbst die Subsumtion jedes einzelnen Sinnes , und jeder Tierklasse unter die vorgebildete Naturfunktion , als durch die Erfahrung , so weit sie bis jetzt reicht , durchgängig nachgewiesen , anzugeben mich im Stande sehe .
Tier	NN	1891	1	lehnert_seehaefen01_1891-7367-17	 	Die Steilheit mancher Strassen zwingt die Tramway bergan mit 8 Maulthieren zu fahren, während bergab die Thiere freigehen und die Wagen durch die mittelst Bremsen regulirte eigene Schwere laufen.	105:111	0:195	Die Steilheit mancher Strassen zwingt die Tramway bergan mit 8 Maulthieren zu fahren , während bergab die Thiere freigehen und die Wagen durch die mittelst Bremsen regulirte eigene Schwere laufen .	17	0:31	d Steilheit manche Straße zwingen d Tramway bergan mit 8 Maultier zu fahren , während bergab d Tier freigehen und d Wagen durch d mittels Bremse reguliert eigen Schwere laufen .	ART NN PIAT NN VVFIN ART NN ADV APPR CARD NN PTKZU VVINF $, KOUS ADV ART NN VVINF KON ART NN APPR ART APPR NN ADJA ADJA NN VVINF $.	Die Steilheit mancher Straßen zwingt die Tramway bergan mit 8 Maultieren zu fahren , während bergab die Tiere freigehen und die Wagen durch die mittels Bremsen regulierte eigene Schwere laufen .
Tier	NN	1805	1	treviranus_biologie03_1805-3074-23	 	In dem Ey und dem menkorne wird durch die Befruchtung blos erst die Fähigkeit zur Entwickelung begründet; hingegen bey den lebendig gebährenden Thieren entwickelt sich der männliche Zeugungsstoff, sobald der männliche Saamen auf ihn gewirkt hat, und so findet man auch schon bey dem ersten Entstehen der Knospe die Rudimente des künftigen Blatts oder Zweiges in ihr eingeschlossen. Die Pflanzen lassen sich daher als Organismen betrachten, welche ohne Befruchtung lebendige Junge gebähren, hingegen nach der Begattung Eyer hervorbringen, und sie gränzen also auch von dieser Seite an die Blattläuse, mit denen sie, wie schon oben erinnert ist, noch in andern Stücken bey ihrer Geschlechtsvermehrung übereinkommen.	144:151	0:713	In dem Ey und dem menkorne wird durch die Befruchtung blos erst die Fähigkeit zur Entwickelung begründet ; hingegen bey den lebendig gebährenden Thieren entwickelt sich der männliche Zeugungsstoff , sobald der männliche Saamen auf ihn gewirkt hat , und so findet man auch schon bey dem ersten Entstehen der Knospe die Rudimente des künftigen Blatts oder Zweiges in ihr eingeschlossen . Die Pflanzen lassen sich daher als Organismen betrachten , welche ohne Befruchtung lebendige Junge gebähren , hingegen nach der Begattung Eyer hervorbringen , und sie gränzen also auch von dieser Seite an die Blattläuse , mit denen sie , wie schon oben erinnert ist , noch in andern Stücken bey ihrer Geschlechtsvermehrung übereinkommen .	23	0:116	in d Ei und d Menkorne werden durch d Befruchtung bloß erst d Fähigkeit zur Entwicklung begründen ; hingegen bei d lebendig gebärend Tier entwickeln sich d männlich Zeugungsstoff , sobald d männlich Samen auf er wirken haben , und so finden man auch schon bei d erst Entstehen d Knospe d Rudiment d künftig Blatt oder Zweig in ihr einschließen . d Pflanze lassen sich daher als Organismus betrachten , welche ohne Befruchtung lebendig Junge gebären , hingegen nach d Begattung Ei hervorbringen , und sie grenzen also auch von diese Seite an d Blattlaus , mit die sie , wie schon oben erinnern sein , noch in ander Stück bei ihr Geschlechtsvermehrung übereinkommen .	APPR ART NN KON ART NE VAFIN APPR ART NN ADV ADV ART NN APPRART NN VVPP $. ADV APPR ART ADJD ADJA NN VVFIN PRF ART ADJA NN $, KOUS ART ADJA NN APPR PPER VVPP VAFIN $, KON ADV VVFIN PIS ADV ADV APPR ART ADJA NN ART NN ART NN ART ADJA NN KON NN APPR PPOSAT VVPP $. ART NN VVFIN PRF PAV KOKOM NN VVINF $, PRELS APPR NN ADJA NN VVFIN $, ADV APPR ART NN NN VVFIN $, KON PPER VVFIN ADV ADV APPR PDAT NN APPR ART NN $, APPR PRELS PPER $, PWAV ADV ADV VVPP VAFIN $, ADV APPR ADJA NN APPR PPOSAT NN VVINF $.	In dem Ei und dem menkorne wird durch die Befruchtung bloß erst die Fähigkeit zur Entwicklung begründet ; hingegen bei den lebendig gebärenden Tieren entwickelt sich der männliche Zeugungsstoff , sobald der männliche Samen auf ihn gewirkt hat , und so findet man auch schon bei dem ersten Entstehen der Knospe die Rudimente des künftigen Blatts oder Zweiges in ihr eingeschlossen . Die Pflanzen lassen sich daher als Organismen betrachten , welche ohne Befruchtung lebendige Junge gebären , hingegen nach der Begattung Eier hervorbringen , und sie grenzen also auch von dieser Seite an die Blattläuse , mit denen sie , wie schon oben erinnert ist , noch in anderen Stücken bei ihrer Geschlechtsvermehrung übereinkommen .
Tier	NN	1869	1	brehm_thierleben05_1869-5961-29	 	Er ließ mehr als viertausend Thiere beißen und benutzte dazu über dreitausend Vipern, wendete alle Gegenmittel an, welche ihm bekannt waren, nicht blos bei einem einzigen Thiere allein, sondern gleich bei Dutzenden von ihnen und kam, streng genommen, zu dem Ergebniß, daß es kein Gegenmittel gäbe.	171:177	0:297	Er ließ mehr als viertauſend Thiere beißen und benutzte dazu über dreitauſend Vipern , wendete alle Gegenmittel an , welche ihm bekannt waren , nicht blos bei einem einzigen Thiere allein , ſondern gleich bei Dutzenden von ihnen und kam , ſtreng genommen , zu dem Ergebniß , daß es kein Gegenmittel gäbe .	29	0:54	er lassen mehr als viertausend Tier beissen und benutzen dazu über dreitausend Viper , wenden alle Gegenmittel an , welche er bekannt sein , nicht bloß bei eine einzig Tier allein , sondern gleich bei Dutzend von sie und kommen , streng nehmen , zu d Ergebnis , daß es keine Gegenmittel geben .	PPER VVFIN PIAT KOKOM CARD NN VVINF KON VVFIN PAV APPR CARD NN $, VVFIN PIAT NN PTKVZ $, PRELS PPER ADJD VAFIN $, PTKNEG ADV APPR ART ADJA NN ADV $, KON ADV APPR NN APPR PPER KON VVFIN $, ADJD VVPP $, APPR ART NN $, KOUS PPER PIAT NN VVFIN $.	Er ließ mehr als viertausend Tiere beißen und benutzte dazu über dreitausend Vipern , wendete alle Gegenmittel an , welche ihm bekannt waren , nicht bloß bei einem einzigen Tiere allein , sondern gleich bei Dutzenden von ihnen und kam , streng genommen , zu dem Ergebnis , daß es kein Gegenmittel gäbe .
Tier	NN	1841	1	moltke_zustaende_1841-1617-27	 	Nach dem Koran entstanden die Rosen erst während der nächtlichen Himmelfahrt des Propheten, und zwar die weißen aus seinen Schweißtropfen, die gelben aus denen seines Thiers, die rothen aus denen des Gabriel; und man kommt in Kasanlik auf die Vermuthung, daß wenigstens für den Erzengel jene Fahrt sehr angreifend gewesen sein muß.	167:173	0:331	Nach dem Koran entſtanden die Roſen erſt waͤhrend der naͤchtlichen Himmelfahrt des Propheten , und zwar die weißen aus ſeinen Schweißtropfen , die gelben aus denen ſeines Thiers , die rothen aus denen des Gabriel ; und man kommt in Kaſanlik auf die Vermuthung , daß wenigſtens fuͤr den Erzengel jene Fahrt ſehr angreifend geweſen ſein muß .	27	0:58	nach d Koran entstehen d Rose erst während d nächtlich Himmelfahrt d Prophet , und zwar d weiß aus seine Schweißtropfen , d gelb aus die seine Tier , d rot aus die d Gabriel ; und man kommen in Kasanlik auf d Vermutung , daß wenigstens für d Erzengel jen Fahrt sehr angreifend sein sein müssen .	APPR ART NN VVFIN ART NN ADV APPR ART ADJA NN ART NN $, KON ADV ART ADJA APPR PPOSAT NN $, ART ADJA APPR PRELS PPOSAT NN $, ART ADJA APPR PRELS ART NE $. KON PIS VVFIN APPR NE APPR ART NN $, KOUS ADV APPR ART NN PDAT NN ADV ADJD VAPP VAINF VMFIN $.	Nach dem Koran entstanden die Rosen erst während der nächtlichen Himmelfahrt des Propheten , und zwar die weißen aus seinen Schweißtropfen , die gelben aus denen seines Tiers , die roten aus denen des Gabriel ; und man kommt in Kasanlik auf die Vermutung , daß wenigstens für den Erzengel jene Fahrt sehr angreifend gewesen sein muß .
Tier	NN	1852	1	ludwig_physiologie01_1852-2113-29	 	Demnach werden die Krämpfe vermindert, nach Durchschneidung aller sensiblen Nervenwurzeln und umgekehrt vermehrt, resp. jedesmal hervorgerufen, wenn man die Haut des vergifteten, aber sonst unversehrten Thieres kneipt oder anderweitig erregt.	203:210	0:242	Demnach werden die Krämpfe vermindert , nach Durchschneidung aller sensiblen Nervenwurzeln und umgekehrt vermehrt , resp. jedesmal hervorgerufen , wenn man die Haut des vergifteten , aber sonst unversehrten Thieres kneipt oder anderweitig erregt .	29	0:35	demnach werden d Krampf vermindern , nach Durchschneidung alle sensibel Nervenwurzel und umgekehrt vermehrt , Resp. jedesmal hervorrufen , wenn man d Haut d vergiftet , aber sonst unversehrt Tier kneifen oder anderweitig erregen .	PAV VAFIN ART NN VVPP $, APPR NN PIAT ADJA NN KON ADJD ADJD $, NN ADV VVPP $, KOUS PIS ART NN ART ADJA $, ADV ADV ADJA NN VVFIN KON ADJD VVPP $.	Demnach werden die Krämpfe vermindert , nach Durchschneidung aller sensiblen Nervenwurzeln und umgekehrt vermehrt , resp. jedesmal hervorgerufen , wenn man die Haut des vergifteten , aber sonst unversehrten Tieres kneift oder anderweitig erregt .
Tier	NN	1805	1	blumenbach_anatomie2_1805-1536-57	 	Dieses System, das eben wegen des constanten Verhältnisses, worin es zum wahren Blutumlauf steht, am füglichsten auch hier gleich abgehandelt wird, begreift bekanntlich die aus den dünnen Därmen entspringenden Milchgefässe, und die eigentlich so genannten lymphatischen im übrigen Körper; dann die glandulas conglobatas, die wenigstens bey den mehrsten damit versehenen Thieren bloss aus knaulförmiger Verwickelung jener beiderley Unterarten von Gefässen zu bestehen scheinen; und endlich den ductus thoracicus als den Hauptabführungscanal der durch jene Gefässe dem Blute zuzubringenden Säfte.	370:377	0:594	Dieses System , das eben wegen des constanten Verhältnisses , worin es zum wahren Blutumlauf steht , am füglichsten auch hier gleich abgehandelt wird , begreift bekanntlich die aus den dünnen Därmen entspringenden Milchgefässe , und die eigentlich so genannten lymphatischen im übrigen Körper ; dann die glandulas conglobatas , die wenigstens bey den mehrsten damit versehenen Thieren bloss aus knaulförmiger Verwickelung jener beiderley Unterarten von Gefässen zu bestehen scheinen ; und endlich den ductus thoracicus als den Hauptabführungscanal der durch jene Gefässe dem Blute zuzubringenden Säfte .	57	0:88	diese System , die eben wegen d konstant Verhältnis , worin es zum wahr Blutumlauf stehen , am füglich auch hier gleich abhandeln werden , begreifen bekanntlich d aus d dünn Darm entspringend Milchgefäß , und d eigentlich so genennt lymphatisch im übrig Körper ; dann d glandulas conglobatas , die wenigstens bei d meiste damit versehen Tier bloß aus knaulförmiger Verwickelung jen beiderlei Unterart von Gefäß zu bestehen scheinen ; und endlich d ductus thoracicus als d Hauptabführungskanal d durch jen Gefäß d Blut zuzubringend Saft .	PDAT NN $, PRELS ADV APPR ART ADJA NN $, PWAV PPER APPRART ADJA NN VVFIN $, APPRART ADJA ADV ADV ADV VVPP VAFIN $, VVFIN ADV ART APPR ART ADJA NN ADJA NN $, KON ART ADV ADV ADJA ADJA APPRART ADJA NN $. ADV ART FM FM $, PRELS ADV APPR ART PIAT PAV ADJA NN ADV APPR ADJA NN PDAT PIAT NN APPR NN PTKZU VVINF VVFIN $. KON ADV ART FM FM KOKOM ART NN ART APPR PDAT NN ART NN ADJA NN $.	Dieses System , das eben wegen des konstanten Verhältnisses , worin es zum wahren Blutumlauf steht , am füglichsten auch hier gleich abgehandelt wird , begreift bekanntlich die aus den dünnen Därmen entspringenden Milchgefässe , und die eigentlich so genannten lymphatischen im übrigen Körper ; dann die glandulas conglobatas , die wenigstens bei den meisten damit versehenen Tieren bloß aus knaulförmiger Verwickelung jener beiderlei Unterarten von Gefäßen zu bestehen scheinen ; und endlich den ductus thoracicus als den Hauptabführungskanal der durch jene Gefäße dem Blute zuzubringenden Säfte .
